Seth Curry,3000,POR,PG/SG,PHO,38.03265,20.07,20.07
Nik Stauskas,3100,POR,SG/SF,PHO,32.19748,15.12424,19.49
De'Anthony Melton,4200,PHO,PG/SG,POR,24.8706,4.551,24.6
Evan Turner,4200,POR,SG/SF,PHO,36.334,20.4256,24.55
Elie Okobo,4000,PHO,PG,POR,23.81302,4.76721,23.03
Mikal Bridges,4100,PHO,SG/SF,POR,23.49248,4.70304,22.72
Richaun Holmes,4300,PHO,PF/C,POR,40.51376,16.604,23.72
Jusuf Nurkic,7300,POR,C,PHO,50.9283,21.95735,39.85
Derrick Favors,4600,UTA,PF/C,HOU,32.02868,15.46896,24.79
Mario Hezonja,3200,NYK,SF/PF,BOS,26.94286,11.219,17.26
Josh Jackson,5400,PHO,SF/PF,POR,41.91294,19.41261,28.59
Al Horford,6200,BOS,PF/C,NYK,43.79884,17.18112,32.54
Marcus Morris,5300,BOS,SF/PF,NYK,37.12548,14.37204,27.48
Tim Hardaway Jr.,6600,NYK,SG/SF,BOS,52.81458,23.07864,34.14
Joe Ingles,5500,UTA,SG/SF,HOU,43.6103,18.4799,28.3
Ricky Rubio,6400,UTA,PG,HOU,42.54816,17.22033,32.43
Marcus Smart,4400,BOS,PG/SG,NYK,31.90005,12.47103,22.23
Chris Paul,7700,HOU,PG,UTA,51.98226,18.48002,38.42
P.J. Tucker,4300,HOU,SF/PF,UTA,41.69678,18.00494,21.46
Noah Vonleh,5100,NYK,PF/C,BOS,45.42475,14.36725,25.25
Maurice Harkless,3600,POR,SF/PF,PHO,28.05883,11.92367,17.77
Donovan Mitchell,7600,UTA,PG/SG,HOU,48.96969,20.16399,37.41
Damian Lillard,10100,POR,PG,PHO,63.17154,23.92412,49.43
Enes Kanter,6800,NYK,C,BOS,44.14248,16.47058,33.14
James Harden,10800,HOU,PG/SG,UTA,60.18705,19.54125,52.11
Clint Capela,8000,HOU,C,UTA,56.08779,24.07053,38.39
Jae Crowder,4900,UTA,SF/PF,HOU,39.65472,17.9928,23.52
Kyrie Irving,9000,BOS,PG,NYK,58.35968,22.81216,42.88
Eric Gordon,5000,HOU,SG/SF,UTA,36.46318,17.66111,23.77
Emmanuel Mudiay,5700,NYK,PG,BOS,36.58512,16.87296,27.04
Al-Farouq Aminu,5200,POR,SF/PF,PHO,37.81614,18.2823,24.54
Zach Collins,3400,POR,PF/C,PHO,24.54264,12.07908,16.02
James Ennis,3700,HOU,SG/SF,UTA,27.40166,12.9779,17.42
Rudy Gobert,8300,UTA,C,HOU,51.9232,16.24064,39.04
Jayson Tatum,7100,BOS,SF/PF,NYK,42.30672,17.2952,33.26
Gordon Hayward,6100,BOS,SG/SF,NYK,41.39337,19.77336,28.41
Trevor Ariza,5600,PHO,SF/PF,POR,34.2426,12.81168,26.04
Jamal Crawford,3900,PHO,PG/SG,POR,29.74725,16.95,16.95
Deandre Ayton,6700,PHO,C,POR,30.07906,6.02163,29.09
Aron Baynes,3400,BOS,C,NYK,23.31056,12.5216,14.56
Meyers Leonard,3400,POR,C,PHO,25.26162,11.75598,14.46
Kevin Knox,4500,NYK,SF/PF,BOS,20.19513,4.65308,19.07
Terry Rozier,4100,BOS,PG/SG,NYK,27.0459,14.03325,17.01
Damyean Dotson,4800,NYK,SG/SF,BOS,32.37672,15.81276,18.78
Jaylen Brown,4500,BOS,SG/SF,NYK,32.9382,14.4768,17.4
Kyle Korver,3400,UTA,SG/SF,HOU,23.00376,10.3727,13.13
Mitchell Robinson,3200,NYK,C,BOS,13.03629,3.00364,12.31
Nene Hilario,3100,HOU,C,UTA,19.18755,9.9724,11.65
Courtney Lee,3100,NYK,SG/SF,BOS,21.47697,11.43,11.43
Troy Daniels,3400,PHO,SG,POR,20.90918,11.29072,11.86
Royce O'Neale,3400,UTA,SF,HOU,17.69988,8.6867,11.66
Jake Layman,3000,POR,SF/PF,PHO,16.0875,8.21925,9.75
Raul Neto,3200,UTA,PG,HOU,18.95022,9.48024,10.26
Allonzo Trier,3800,NYK,PG/SG,BOS,12.44325,2.867,11.75
Gerald Green,3300,HOU,SG/SF,UTA,17.55234,8.22354,10.14
Gary Clark,3000,HOU,SF/PF,UTA,8.65416,1.5836,8.56
Thabo Sefolosha,3000,UTA,SF/PF,HOU,8.4524,4.77425,5.65
Ryan Anderson,3000,PHO,PF/C,POR,6.27263,4.27,4.27
Semi Ojeleye,3000,BOS,SF/PF,NYK,2.46906,1.29,1.29
Danuel House,3200,HOU,SG,UTA,1.332,0.999,1.11
